date,slot,load_forecast_kW,pv_forecast_kW,support_start_slot,support_end_slot,support_valid,support_defined
2025-01-03,98,6239.28,757.725,0,143,0,True
2025-01-03,99,6276.4877,494.5646,0,143,0,True
2025-01-03,100,6335.5438,213.8643,0,143,0,True
2025-01-03,101,6317.75,6.675,0,143,0,True
2025-01-03,102,6215.7285,0.0,0,143,0,True
2025-01-03,103,6137.0958,6.7246,0,143,0,True
2025-01-03,104,6185.23,0.0,0,143,0,True
2025-01-03,105,6275.9932,0.0,0,143,0,True
2025-01-03,106,5749.3845,0.4828,0,143,0,True
2025-01-03,107,4825.29,0.0,0,143,0,True
2025-01-03,108,4462.7208,0.0,0,143,0,True
2025-01-03,109,4487.596,0.0347,0,143,0,True
2025-01-03,110,4531.35,0.0,0,143,0,True
2025-01-03,111,4433.2667,0.0,0,143,0,True
2025-01-03,112,4446.1905,0.0025,0,143,0,True
2025-01-03,113,4522.69,0.0,0,143,0,True
2025-01-03,114,4365.4081,0.0,0,143,0,True
2025-01-03,115,4272.9727,0.0,0,143,0,True
2025-01-03,116,4365.74,0.0,0,143,0,True
2025-01-03,117,4459.5799,0.0,0,143,0,True
2025-01-03,118,4483.9677,0.0,0,143,0,True
2025-01-03,119,4509.26,0.0,0,143,0,True
2025-01-03,120,4622.8615,0.0,0,143,0,True
2025-01-03,121,4560.6006,0.0,0,143,0,True
2025-01-03,122,4323.46,0.0,0,143,0,True
2025-01-03,123,4224.7758,0.0,0,143,0,True
2025-01-03,124,4398.0305,0.0,0,143,0,True
2025-01-03,125,4648.27,0.0,0,143,0,True
2025-01-03,126,4633.6,0.0,0,143,0,True
2025-01-03,127,4538.5738,0.0,0,143,0,True
2025-01-03,128,4588.87,0.0,0,143,0,True
2025-01-03,129,4752.9518,0.0,0,143,0,True
2025-01-03,130,4388.3683,0.0,0,143,0,True
2025-01-03,131,3695.47,0.0,0,143,0,True
2025-01-03,132,3549.5286,0.0,0,143,0,True
2025-01-03,133,3568.6566,0.0,0,143,0,True
2025-01-03,134,3527.23,0.0,0,143,0,True
2025-01-03,135,3577.6994,0.0,0,143,0,True
2025-01-03,136,3478.244,0.0,0,143,0,True
2025-01-03,137,3323.61,0.0,0,143,0,True
2025-01-03,138,3478.4063,0.0,0,143,0,True
2025-01-03,139,3640.9395,0.0,0,143,0,True
2025-01-03,140,3700.96,0.0,0,143,0,True
2025-01-03,141,3769.729,0.0,0,143,0,True
2025-01-03,142,3428.202,0.0,0,143,0,True
2025-01-03,143,2919.12,0.0,0,143,0,True
2025-01-04,0,2954.3509,0.0,0,143,0,True
2025-01-04,1,2960.6102,0.0,0,143,0,True
2025-01-04,2,2756.51,0.0,0,143,0,True
2025-01-04,3,2725.0654,0.0,0,143,0,True
2025-01-04,4,2639.7341,0.0,0,143,0,True
2025-01-04,5,2583.76,0.0,0,143,0,True
2025-01-04,6,2902.6811,0.0,0,143,0,True
2025-01-04,7,3131.051,0.0,0,143,0,True
2025-01-04,8,3056.82,0.0,0,143,0,True
2025-01-04,9,2923.5412,0.0,0,143,0,True
2025-01-04,10,2940.6553,0.0,0,143,0,True
2025-01-04,11,3047.21,0.0,0,143,0,True
2025-01-04,12,3000.6237,0.0,0,143,0,True
2025-01-04,13,2860.5275,0.0,0,143,0,True
2025-01-04,14,2800.1,0.0,0,143,0,True
2025-01-04,15,2953.2923,0.0,0,143,0,True
2025-01-04,16,3161.0061,0.0,0,143,0,True
2025-01-04,17,3294.0,0.0,0,143,0,True
2025-01-04,18,3346.735,0.0,0,143,0,True
2025-01-04,19,3390.5777,0.0,0,143,0,True
2025-01-04,20,3426.62,0.0,0,143,0,True
2025-01-04,21,3375.8805,0.0,0,143,0,True
2025-01-04,22,3204.2096,0.0,0,143,0,True
2025-01-04,23,3155.14,0.0,0,143,0,True
2025-01-04,24,3470.3443,0.0,0,143,0,True
2025-01-04,25,3371.4266,0.0,0,143,0,True
2025-01-04,26,2945.58,0.0,0,143,0,True
