date,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-05-07,40841.86639861233,38477.75319617933,39286.42954140803,-2364.113202433,808.676345228705
2025-05-08,40458.6451154678,42217.2204465787,41097.34675030415,1758.5753311109002,-1119.8736962745534
2025-05-09,14829.912847446276,15612.281636569933,15194.981745753874,782.3687891236568,-417.2998908160589
2025-05-10,15056.08455392459,14900.842908702287,15383.238507790982,-155.2416452223024,482.39559908869523
2025-05-11,40423.63441877135,41732.8393537153,39040.942010824816,1309.2049349439549,-2691.8973428904865
2025-05-12,39394.30488184883,36685.61906699759,36325.52000742179,-2708.68581485124,-360.09905957580486
2025-05-13,39015.62532322121,40014.253561892125,38780.967813111216,998.6282386709136,-1233.2857487809088
2025-05-14,39225.38367554464,39681.916826219436,38731.98473689949,456.53315067479707,-949.9320893199474
2025-05-15,39007.98449169078,39396.851748067726,38923.38168711235,388.86725637694326,-473.47006095537654
2025-05-16,15034.898956665975,15290.32290452762,14922.39877852419,255.4239478616455,-367.9241260034305
2025-05-17,15018.864900448423,15192.493867105055,15097.730624116346,173.62896665663175,-94.76324298870895
2025-05-18,38125.23575744643,40704.19535713681,38767.55834068248,2578.9595996903736,-1936.637016454326
2025-05-19,38279.83218084589,37478.29642565447,37093.01292138446,-801.5357551914203,-385.28350427000987
2025-05-20,37363.93548339614,37067.634960610354,37654.31251632217,-296.3005227857866,586.6775557118162
2025-05-21,38292.520827017746,35312.68510772197,37468.148046034345,-2979.8357192957774,2155.4629383123756
2025-05-22,37981.035981874265,37308.09525135356,36617.0627606629,-672.940730520706,-691.0324906906608
2025-05-23,15065.107623510265,14831.386525177943,15904.385889245563,-233.72109833232207,1072.9993640676203
2025-05-24,15151.656029548956,15395.092159264575,15111.092779340894,243.43612971561924,-283.9993799236818
2025-05-25,37294.956911126195,36644.68941990341,36187.77551772148,-650.2674912227885,-456.9139021819283
2025-05-26,37294.02590269296,36635.01218247084,38650.10380368014,-659.0137202221231,2015.0916212092998
2025-05-27,38081.92161232241,35062.7841058924,35619.77798944506,-3019.137506430008,556.9938835526555
2025-05-28,37200.50521369318,38931.7942257002,38327.87638536016,1731.2890120070224,-603.9178403400365
2025-05-29,37783.67531921983,38476.070378045486,38861.975919106764,692.3950588256557,385.9055410612782
2025-05-30,15142.286621249199,15709.700485263033,15945.423497061594,567.4138640138335,235.72301179856186
2025-05-31,15177.59130588118,16732.476755294923,16081.67759616152,1554.8854494137431,-650.799159133403
2025-06-01,103869.11845947048,55216.81251115513,58024.58754457118,-48652.305948315356,2807.775033416052
2025-06-02,64095.50799611884,54584.01758908675,51680.145273130816,-9511.490407032092,-2903.8723159559304
2025-06-03,48143.797215054256,51703.6812157614,48862.6467237357,3559.8840007071412,-2841.0344920256975
2025-06-04,48324.71119475009,58443.424665468294,53074.568313177726,10118.713470718205,-5368.856352290568
2025-06-05,49949.448049899045,50620.004295865925,50948.18501114947,670.5562459668799,328.1807152835463
2025-06-06,25044.33223334982,24474.307562991522,24003.57633875155,-570.0246703582998,-470.7312242399712
2025-06-07,22481.41164147685,25490.912349194496,25840.587957377982,3009.500707717645,349.6756081834865
2025-06-08,57956.550535639064,51535.40728395653,50866.783034238426,-6421.143251682537,-668.624249718101
2025-06-09,51235.27921130686,53383.26691147498,50651.7893236117,2147.9877001681234,-2731.477587863279
2025-06-10,53316.45656970511,48977.872763857755,49640.74393450315,-4338.583805847353,662.8711706453978
2025-06-11,53178.87406225227,53694.00318469275,53797.44388690517,515.1291224404849,103.44070221241418
2025-06-12,56506.04434059741,52133.92536203073,50885.75523979466,-4372.118978566679,-1248.1701222360716
2025-06-13,22191.658861151234,21196.874678650987,21463.30295180209,-994.784182500247,266.42827315110117
2025-06-14,23094.055385077852,21490.13271437027,20855.823672570914,-1603.9226707075832,-634.3090417993553
2025-06-15,53704.77180220025,48267.18892367348,50126.22490505059,-5437.582878526773,1859.0359813771138
2025-06-16,54024.90007849757,52383.11096354737,50953.668580112026,-1641.789114950203,-1429.4423834353438
2025-06-17,54909.40675121477,52002.86500385606,52610.98684960842,-2906.5417473587077,608.1218457523573
2025-06-18,55831.67096692128,52388.057504231736,51919.64809786585,-3443.6134626895437,-468.40940636588493
2025-06-19,54160.99978597414,49672.71173102607,51290.72845826709,-4488.288054948069,1618.016727241018
2025-06-20,21327.470869858906,21468.828510397798,20973.90913054738,141.35764053889216,-494.9193798504166
2025-06-21,20595.580513934245,20393.663618541876,20492.58744279643,-201.91689539236904,98.92382425455435
2025-06-22,51421.05102109559,47395.55755769571,49422.87101179214,-4025.4934633998782,2027.3134540964238
2025-06-23,52062.50579172578,48943.857709894175,48143.46111631504,-3118.648081831605,-800.3965935791348
2025-06-24,58191.53066934708,56581.2067714529,55144.07713464483,-1610.3238978941808,-1437.1296368080657
2025-06-25,53167.1341363086,49322.72374659671,51799.12796780014,-3844.410389711891,2476.4042212034255
2025-06-26,51850.87458109557,48423.26574708092,49391.767764008866,-3427.6088340146525,968.5020169279451
2025-06-27,20283.64251640712,21792.107893454446,21186.46311334197,1508.465377047327,-605.6447801124741
2025-06-28,20258.436244671477,20357.499477818634,20281.11456242599,99.063233147157,-76.38491539264214
2025-06-29,52572.33767662319,47363.11561480446,51399.320711839704,-5209.2220618187275,4036.205097035243
2025-06-30,52712.08284378884,52336.295700935734,51237.60604442274,-375.78714285310707,-1098.6896565129937
2025-07-01,62121.22369436894,98208.88497454213,66166.79332207945,36087.66128017319,-32042.09165246268
2025-07-02,57715.3274640785,50661.53562085763,50546.8497512937,-7053.791843220875,-114.68586956392392
2025-07-03,54989.73673199905,55843.1400505139,56101.98549850069,853.403318514851,258.8454479867869
2025-07-04,25584.406496021635,24731.489616010822,25165.618534261183,-852.9168800108127,434.1289182503606
2025-07-05,25920.883865158627,26036.3333230014,26217.2187890953,115.44945784277297,180.8854660938996
2025-07-06,84954.50144718499,84798.74209800606,60019.00047818656,-155.75934917893028,-24779.7416198195
2025-07-07,56881.73069233799,55314.56846388084,54203.02100715674,-1567.1622284571495,-1111.5474567240963
2025-07-08,57755.43775172396,63942.70685408334,62089.2340719262,6187.26910235938,-1853.4727821571432
2025-07-09,52153.84580528759,54946.020061337964,53275.07170799492,2792.174256050377,-1670.9483533430466
2025-07-10,53192.731005921414,52299.04247376912,51608.18611714922,-893.6885321522932,-690.8563566199009
2025-07-11,25807.937912531695,26990.2550615151,26334.38638556514,1182.3171489834058,-655.8686759499615
2025-07-12,25335.999724340967,25144.066826235678,26405.977459541857,-191.9328981052895,1261.910633306179
2025-07-13,52671.83443581826,56317.18733465892,52467.24028621582,3645.3528988406615,-3849.9470484431004
2025-07-14,51822.59912588474,53738.19370389542,52144.74539256476,1915.5945780106777,-1593.4483113306633
2025-07-15,52056.9797459872,55237.1298931659,52642.05407215841,3180.150147178698,-2595.0758210074855
2025-07-16,52021.48097347923,53576.41366877295,52037.32185651176,1554.932695293719,-1539.091812261191
2025-07-17,52150.87404017108,51739.67066450735,52855.87904101276,-411.203375663732,1116.2083765054122
2025-07-18,29288.011655043738,31613.98005329992,30068.399028508877,2325.9683982561837,-1545.581024791045
2025-07-19,25338.259842618434,27438.553126153176,26518.702340056665,2100.293283534742,-919.850786096511
2025-07-20,50918.17038629146,54342.591852559555,53163.490710151134,3424.421466268097,-1179.1011424084209
2025-07-21,52770.03940899479,56610.27195767263,55210.01849738015,3840.2325486778427,-1400.2534602924788
2025-07-22,54753.368804252335,55334.86468418722,56302.722973464086,581.4958799348824,967.8582892768682
2025-07-23,54521.193564967776,62723.56315416702,58380.608999883705,8202.369589199247,-4342.954154283318
2025-07-24,53674.48508642603,60718.45305827728,56905.93430756662,7043.967971851249,-3812.5187507106602
2025-07-25,25867.141682387053,25771.181461071264,25547.97100653373,-95.96022131578866,-223.21045453753322
2025-07-26,26118.59471628854,25714.57915911916,25971.062349360065,-404.01555716937946,256.48319024090597
2025-07-27,53952.565607217184,54204.93117251524,54004.79505697767,252.3655652980524,-200.13611553756346
2025-07-28,52964.74892677948,55910.68848973,55838.33963866745,2945.939562950516,-72.3488510625466
2025-07-29,56866.23656059891,56676.007945612306,58997.038426281266,-190.22861498660495,2321.03048066896
2025-07-30,54952.95916906065,50911.68467271551,57348.287534860574,-4041.2744963451332,6436.6028621450605
2025-07-31,54680.9399881189,53923.4861421478,55569.91746337522,-757.4538459711039,1646.431321227421
2025-08-01,26500.24617335138,26326.334489362365,25601.77088241477,-173.91168398901573,-724.563606947595
2025-08-02,25762.49571306147,26805.91144774296,26174.804496338766,1043.41573468149,-631.1069514041956
2025-08-03,51363.02105597025,45875.62897779461,45528.882115629654,-5487.392078175639,-346.7468621649532
2025-08-04,49565.214050827744,48972.77612354891,49256.28776809084,-592.4379272788356,283.5116445419335
2025-08-05,46832.6323661777,47964.684988725814,49085.9409069301,1132.0526225481153,1121.2559182042824
2025-08-06,52735.809836389286,53168.64868724283,51156.204377031005,432.8388508535427,-2012.444310211824
2025-08-07,48187.56859993455,52683.03386616694,50658.92174628096,4495.465266232386,-2024.1121198859764
2025-08-08,24590.433775130266,24716.86320662399,24672.128478309212,126.42943149372513,-44.734728314779204
2025-08-09,23533.096996865315,23924.968923986293,23855.263225622177,391.8719271209775,-69.70569836411596
2025-08-10,45755.443523041016,48917.55112032555,47503.88197744724,3162.1075972845356,-1413.6691428783088
2025-08-11,47533.447523508126,47213.58737302596,48167.50713650478,-319.8601504821636,953.9197634788143
2025-08-12,48711.41627135829,51156.331702126,50375.331643862824,2444.915430767709,-781.0000582631765
2025-08-13,47084.55108425496,45803.13751817593,47334.57752262438,-1281.4135660790344,1531.44000444845
2025-08-14,47225.585101118515,47914.46190149499,49103.52768007311,688.8768003764781,1189.065778578115
