date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-05-25,1h,464.29323333333366,9859.18941666667,6,63
2025-05-25,4h,800.5754333333343,17197.488716666674,24,60
2025-05-26,1h,1850.882383333333,42939.90388333333,6,61
2025-05-26,4h,4623.185850000001,159364.27048333333,24,57
2025-05-27,1h,127.00121666666666,2174.718649999999,6,16
2025-05-27,4h,271.8811833333335,2723.42516666667,24,8
2025-05-28,1h,1699.0757000000003,29027.81223333334,6,67
2025-05-28,4h,3551.068283333334,87994.95021666668,24,52
2025-05-29,1h,766.4786166666665,19227.792716666667,6,80
2025-05-29,4h,1896.55465,52392.16518333332,24,78
2025-05-30,1h,733.679583333333,13559.292833333328,6,78
2025-05-30,4h,1956.129699999999,35372.21733333332,24,78
2025-05-31,1h,1005.6405666666667,20087.896016666673,6,68
2025-05-31,4h,2174.0558500000006,66903.83620000002,24,56
2025-06-01,1h,2671.5090666666656,100892.66308333333,6,64
2025-06-01,4h,7396.751816666666,362582.7992499999,24,61
2025-06-02,1h,1434.0760499999997,62180.77873333334,6,89
2025-06-02,4h,3985.7900666666665,186582.76131666667,24,86
2025-06-03,1h,1343.4568666666669,49626.03701666667,6,64
2025-06-03,4h,2967.979666666666,144129.65678333337,24,48
2025-06-04,1h,1584.58555,64168.64929999999,6,76
2025-06-04,4h,4281.88275,204562.90409999996,24,70
2025-06-05,1h,1474.7193166666666,58003.78918333333,6,89
2025-06-05,4h,3023.9361833333332,179146.9553333333,24,84
2025-06-06,1h,1514.3526666666667,80089.57783333333,6,80
2025-06-06,4h,4968.1789,274726.2175833333,24,77
2025-06-07,1h,784.0667833333333,48358.89448333334,6,101
2025-06-07,4h,2525.670566666666,153557.43268333335,24,101
2025-06-08,1h,215.5863499999998,2223.159499999997,6,37
2025-06-08,4h,120.94849999999951,365.48113333333026,24,19
2025-06-09,1h,1288.4659166666668,39123.64774999999,6,47
2025-06-09,4h,3536.092066666666,144928.7641333333,24,47
2025-06-10,1h,832.2139500000002,14315.255533333337,6,53
2025-06-10,4h,1386.0897000000007,31635.312283333347,24,52
2025-06-11,1h,1486.7566,28656.157549999996,6,59
2025-06-11,4h,2672.888483333333,91793.62871666666,24,41
2025-06-12,1h,570.8603,4742.3762833333385,6,87
2025-06-12,4h,539.8122166666676,2381.1263666666746,24,87
2025-06-13,1h,1160.9334166666665,22233.31095,6,53
2025-06-13,4h,3310.0038499999996,70990.18424999999,24,45
2025-06-14,1h,770.2433666666666,9466.678616666666,6,68
2025-06-14,4h,1278.3080166666662,13161.046799999993,24,65
2025-06-15,1h,838.5679666666666,10698.477799999999,6,50
2025-06-15,4h,1433.081016666666,20565.565816666654,24,42
2025-06-16,1h,789.297866666667,19120.395766666665,6,90
2025-06-16,4h,1433.005466666666,48991.06479999998,24,84
2025-06-17,1h,1569.6391333333331,22211.411016666672,6,77
2025-06-17,4h,3282.5263499999996,72487.64510000002,24,62
2025-06-18,1h,183.71705000000014,2612.6269666666676,6,39
2025-06-18,4h,130.59406666666732,514.858133333339,24,22
2025-06-19,1h,616.6564000000003,8619.90023333333,6,48
2025-06-19,4h,676.3386833333337,8513.4575,24,33
2025-06-20,1h,860.3092666666673,12072.862400000005,6,76
2025-06-20,4h,1498.263900000001,27000.951466666676,24,59
2025-06-21,1h,494.42320000000007,7068.8923,6,50
2025-06-21,4h,943.0524833333334,17214.87961666666,24,32
2025-06-22,1h,1406.4200166666674,31535.30365000001,6,68
2025-06-22,4h,4670.680333333334,96388.95001666668,24,67
2025-06-23,1h,520.8421166666669,10022.247800000003,6,50
2025-06-23,4h,799.1755166666668,19394.29241666668,24,32
2025-06-24,1h,2036.9179,57066.45210000001,6,59
2025-06-24,4h,6170.464166666666,216896.86493333336,24,51
2025-06-25,1h,324.5461666666665,2499.8821000000007,6,63
2025-06-25,4h,136.72351666666668,535.0013500000011,24,3
2025-06-26,1h,470.37431666666674,5499.619433333335,6,50
2025-06-26,4h,428.74866666666674,4068.736583333333,24,35
2025-06-27,1h,483.7129666666668,6956.916483333336,6,89
2025-06-27,4h,839.6380000000003,13862.614166666675,24,79
2025-06-28,1h,519.0282999999997,14754.51336666667,6,49
2025-06-28,4h,1173.2215500000002,29489.727633333347,24,43
2025-06-29,1h,1955.5848499999997,24521.93586666667,6,69
2025-06-29,4h,3178.8207,64201.09633333336,24,56
2025-06-30,1h,1232.4432666666667,13995.582366666667,6,59
2025-06-30,4h,1054.1799666666664,19687.443299999995,24,41
2025-07-01,1h,808.3352333333332,51186.98205,6,117
2025-07-01,4h,2620.086633333333,138158.97693333335,24,111
2025-07-02,1h,951.7282833333333,59874.45781666666,6,95
2025-07-02,4h,2982.0740833333334,174006.84616666663,24,95
2025-07-03,1h,1872.3342333333335,124775.57651666668,6,83
2025-07-03,4h,5952.516400000001,448420.10625000007,24,66
2025-07-04,1h,989.1079999999997,75454.25745,6,4
2025-07-04,4h,3126.388733333333,226148.0226166667,24,103
2025-07-05,1h,1607.2168166666665,86717.12788333333,6,68
2025-07-05,4h,3721.235716666667,296991.0098,24,89
2025-07-06,1h,2081.69845,119574.52346666668,6,76
2025-07-06,4h,6328.199749999998,430217.80641666666,24,73
2025-07-07,1h,1008.6940500000001,60253.454816666665,6,2
2025-07-07,4h,3227.6107833333326,169667.71219999995,24,2
2025-07-08,1h,707.0131500000005,27785.426933333332,6,92
2025-07-08,4h,2231.804033333333,79511.32330000002,24,38
2025-07-09,1h,1131.7423666666666,15583.579766666671,6,70
2025-07-09,4h,2312.7575333333334,28273.99943333334,24,64
2025-07-10,1h,699.0098833333329,11760.42918333333,6,90
2025-07-10,4h,552.9938833333322,8491.30864999998,24,87
2025-07-11,1h,1765.2901666666664,36985.19521666667,6,65
2025-07-11,4h,5042.632866666666,131723.69403333333,24,58
2025-07-12,1h,593.7107333333332,9758.046516666669,6,89
2025-07-12,4h,1108.3630666666666,13508.893516666667,24,83
2025-07-13,1h,133.88659999999982,910.9252666666673,6,114
2025-07-14,1h,1164.0095666666664,20128.299733333333,6,79
2025-07-14,4h,2478.616016666667,55789.91803333333,24,61
